x: -0.0695037841796875, y: 0.156524658203125, z: -0.957794189453125, 
x: -0.092987060546875, y: 0.166091918945312, z: -0.985824584960938, 
x: -0.110092163085938, y: 0.165298461914062, z: -1.01145935058594, 
x: -0.110580444335938, y: 0.1539306640625, z: -1.00411987304688, 
x: -0.101791381835938, y: 0.135009765625, z: -0.97265625, 
x: -0.0968780517578125, y: 0.124160766601562, z: -0.97076416015625, 
x: -0.0841522216796875, y: 0.132049560546875, z: -0.97369384765625, 
x: -0.080230712890625, y: 0.1444091796875, z: -0.983505249023438, 
x: -0.093475341796875, y: 0.150787353515625, z: -0.97900390625, 
x: -0.107192993164062, y: 0.153732299804688, z: -0.975509643554688, 
x: -0.102783203125, y: 0.156707763671875, z: -0.979934692382812, 
x: -0.0934906005859375, y: 0.166519165039062, z: -0.9759521484375, 
x: -0.092498779296875, y: 0.16357421875, z: -0.978439331054688, 
x: -0.098358154296875, y: 0.152816772460938, z: -0.98736572265625, 
x: -0.09979248046875, y: 0.145095825195312, z: -1.00715637207031, 
x: -0.0958709716796875, y: 0.138687133789062, z: -1.00621032714844, 
x: -0.09051513671875, y: 0.133575439453125, z: -0.979598999023438, 
x: -0.0871124267578125, y: 0.12799072265625, z: -0.956939697265625, 
x: -0.08319091796875, y: 0.132919311523438, z: -0.957412719726562, 
x: -0.08074951171875, y: 0.142791748046875, z: -0.963775634765625, 
x: -0.0930023193359375, y: 0.153656005859375, z: -0.9681396484375, 
x: -0.109146118164062, y: 0.159698486328125, z: -0.98583984375, 
x: -0.113037109375, y: 0.174652099609375, z: -1.01091003417969, 
x: -0.105224609375, y: 0.187393188476562, z: -1.00395202636719, 
x: -0.101806640625, y: 0.180908203125, z: -0.993133544921875, 
x: -0.0915069580078125, y: 0.16314697265625, z: -0.987823486328125, 
x: -0.0851287841796875, y: 0.140960693359375, z: -0.980545043945312, 
x: -0.0890350341796875, y: 0.114776611328125, z: -0.967361450195312, 
x: -0.09149169921875, y: 0.10784912109375, z: -0.960983276367188, 
x: -0.09295654296875, y: 0.114822387695312, z: -0.972793579101562, 
x: -0.0939483642578125, y: 0.134048461914062, z: -0.977127075195312, 
x: -0.0983734130859375, y: 0.153732299804688, z: -0.977493286132812, 
x: -0.105712890625, y: 0.16265869140625, z: -0.985336303710938, 
x: -0.094940185546875, y: 0.1680908203125, z: -0.989761352539062, 
x: -0.0915069580078125, y: 0.16961669921875, z: -0.998153686523438, 
x: -0.0910186767578125, y: 0.164688110351562, z: -0.996688842773438, 
x: -0.0954132080078125, y: 0.151824951171875, z: -0.986892700195312, 
x: -0.100326538085938, y: 0.142852783203125, z: -0.96966552734375, 
x: -0.095916748046875, y: 0.138885498046875, z: -0.966232299804688, 
x: -0.0846710205078125, y: 0.146209716796875, z: -0.95831298828125, 
x: -0.0861358642578125, y: 0.155670166015625, z: -0.97503662109375, 
x: -0.094451904296875, y: 0.16168212890625, z: -0.987335205078125, 
x: -0.101287841796875, y: 0.158309936523438, z: -0.998199462890625, 
x: -0.106185913085938, y: 0.144973754882812, z: -0.990859985351562, 
x: -0.0998077392578125, y: 0.135635375976562, z: -0.992401123046875, 
x: -0.09002685546875, y: 0.133102416992188, z: -0.982559204101562, 
x: -0.08709716796875, y: 0.139907836914062, z: -0.97216796875, 
x: -0.0925140380859375, y: 0.158111572265625, z: -0.9705810546875, 
x: -0.100845336914062, y: 0.169448852539062, z: -0.973953247070312, 
x: -0.102783203125, y: 0.16656494140625, z: -0.98333740234375, 
x: -0.100814819335938, y: 0.160186767578125, z: -0.9853515625, 
x: -0.0983734130859375, y: 0.1572265625, z: -0.98388671875, 
x: -0.094940185546875, y: 0.15325927734375, z: -0.97998046875, 
x: -0.094940185546875, y: 0.146347045898438, z: -0.9775390625, 
x: -0.08807373046875, y: 0.144866943359375, z: -0.978057861328125, 
x: -0.0919952392578125, y: 0.142425537109375, z: -0.978561401367188, 
x: -0.100799560546875, y: 0.139480590820312, z: -0.98052978515625, 
x: -0.101791381835938, y: 0.15130615234375, z: -0.981948852539062, 
x: -0.0964202880859375, y: 0.167068481445312, z: -0.985321044921875, 
x: -0.089569091796875, y: 0.17987060546875, z: -0.986251831054688, 
